"Date","INTB3.SA.Open","INTB3.SA.High","INTB3.SA.Low","INTB3.SA.Close","INTB3.SA.Volume","INTB3.SA.Adjusted"
2021-02-08,20.2000007629395,20.2000007629395,18.7299995422363,19.2900009155273,4609700,17.6020812988281
2021-02-09,19.2900009155273,20,18.25,20,3077700,18.2499561309814
2021-02-10,19.7099990844727,19.9799995422363,18.6200008392334,19.5,2997900,17.7937088012695
2021-02-11,19.5,19.5,18.8199996948242,19.4300003051758,3171100,17.729829788208
2021-02-12,19.1800003051758,20.1100006103516,18.8799991607666,19.9699993133545,1712100,18.2225780487061
2021-02-17,20,20.0499992370605,19.6000003814697,19.9200000762939,475200,18.1769542694092
2021-02-18,19.8999996185303,20,19.3700008392334,19.9500007629395,1094200,18.2043323516846
2021-02-19,19.8999996185303,20.0900001525879,19.6100006103516,19.9899997711182,801900,18.2408313751221
2021-02-22,19.5200004577637,19.7399997711182,19.0300006866455,19.3799991607666,1230800,17.6842098236084
2021-02-23,19.25,19.4300003051758,19.1100006103516,19.3899993896484,666400,17.6933326721191
2021-02-24,19.2800006866455,19.3899993896484,18.5,18.9799995422363,1653300,17.3192081451416
2021-02-25,19.2000007629395,19.3899993896484,18.5,19,1027400,17.3374557495117
2021-02-26,18.8500003814697,19,17.8099994659424,19,1246700,17.3374557495117
2021-03-01,18.9899997711182,18.9899997711182,18.0499992370605,18.4400005340576,925900,16.8264598846436
2021-03-02,18.4200000762939,18.4200000762939,17.3799991607666,18.0699996948242,810400,16.4888324737549
2021-03-03,17.8999996185303,18.0599994659424,16.8500003814697,17.6000003814697,1753000,16.059965133667
2021-03-04,17.5499992370605,18.5699996948242,17.1900005340576,18.5699996948242,1469800,16.9450817108154
2021-03-05,18.5,18.8600006103516,17.7099990844727,18.8600006103516,923200,17.2097110748291
2021-03-08,18.3899993896484,18.5699996948242,18.0100002288818,18.0100002288818,610900,16.43408203125
2021-03-09,18.0200004577637,18.3999996185303,17.1299991607666,17.3299999237061,878100,15.8135890960693
2021-03-10,17.5699996948242,17.5699996948242,16.2600002288818,17,2441200,15.5124616622925
2021-03-11,16.8600006103516,17.75,16.6800003051758,17.75,1284900,16.1968364715576
2021-03-12,17.5,19.1700000762939,17.3199996948242,18.9300003051758,814600,17.2735824584961
2021-03-15,19,19.6599998474121,18.8500003814697,19.2999992370605,1845700,17.6112060546875
2021-03-16,19.2999992370605,19.2999992370605,18.8999996185303,19.25,980800,17.5655784606934
2021-03-17,19.3500003814697,19.5699996948242,18.9300003051758,19.4899997711182,865100,17.7845802307129
2021-03-18,19.4899997711182,19.4899997711182,18.6599998474121,19,712200,17.3374557495117
2021-03-19,18.9500007629395,19.3299999237061,18.7099990844727,19.0499992370605,903700,17.3830814361572
2021-03-22,19.0499992370605,19.6000003814697,18.8999996185303,19.0900001525879,1105200,17.4195861816406
2021-03-23,19.7399997711182,21.5799999237061,19.5400009155273,21.0900001525879,5820500,19.2445774078369
2021-03-24,21.0900001525879,21.7900009155273,20.3999996185303,21.0699996948242,2566500,19.2263259887695
2021-03-25,21.0799999237061,21.3299999237061,20.0699996948242,20.3999996185303,3640800,18.614953994751
2021-03-26,20.4500007629395,20.5100002288818,19.3199996948242,19.7000007629395,1078600,17.976203918457
2021-03-29,19.7299995422363,20.4300003051758,19.3500003814697,20.0900001525879,741900,18.3320827484131
2021-03-30,20.25,20.4300003051758,19.6900005340576,20.2999992370605,1236600,18.5237045288086
2021-03-31,20.2099990844727,20.4500007629395,19.8099994659424,20.3899993896484,1295900,18.6058292388916
2021-04-01,21,21.5599994659424,20.6299991607666,21.1299991607666,3703000,19.281078338623
2021-04-05,21.1299991607666,21.1299991607666,20.5,21.0100002288818,1393700,19.1715774536133
2021-04-06,20.9899997711182,21,20.6000003814697,20.6700000762939,621500,18.8613319396973
2021-04-07,20.6800003051758,20.8400001525879,20.0599994659424,20.2000007629395,1251200,18.4324512481689
