"Date","LREN3.SA.Open","LREN3.SA.High","LREN3.SA.Low","LREN3.SA.Close","LREN3.SA.Volume","LREN3.SA.Adjusted"
2017-01-02,15.5172729492188,15.7137804031372,15.4562883377075,15.6798992156982,818464,14.2155466079712
2017-01-03,15.7883167266846,16.2626438140869,15.5443773269653,16.161003112793,3601037,14.6517190933228
2017-01-04,16.2287635803223,16.3913898468018,15.8493022918701,16.0187034606934,3231946,14.5227117538452
2017-01-05,16.0864658355713,16.1881065368652,15.8357496261597,15.8696298599243,4340991,14.3875598907471
2017-01-06,15.8696298599243,15.8696298599243,15.5443773269653,15.6866750717163,2588361,14.2216911315918
2017-01-09,15.6798992156982,15.7747650146484,15.5443773269653,15.5511531829834,2346629,14.0988245010376
2017-01-10,15.6866750717163,15.7679891586304,15.395302772522,15.5172729492188,1906258,14.0681085586548
2017-01-11,15.5918102264404,15.6527948379517,15.2597808837891,15.5240488052368,2687976,14.0742530822754
2017-01-12,16.1067943572998,16.8250617980957,16.0051517486572,16.5607929229736,9043547,15.0141735076904
2017-01-13,16.3575096130371,16.8047313690186,16.1745548248291,16.3371810913086,5428932,14.8114452362061
2017-01-16,16.1677799224854,16.4320468902588,16.1000175476074,16.3371810913086,1068165,14.8114452362061
2017-01-17,16.2219867706299,16.3913898468018,16.0051517486572,16.1677799224854,4934400,14.6578674316406
2017-01-18,16.5133590698242,16.5133590698242,16.0593605041504,16.1271228790283,1941824,14.6210050582886
2017-01-19,16.1271228790283,16.1813316345215,15.9238386154175,16.0254802703857,2986377,14.5288543701172
2017-01-20,16.0254802703857,16.4591503143311,15.842526435852,16.2694206237793,3221468,14.7500152587891
2017-01-23,16.2626438140869,16.8657169342041,16.2355403900146,16.7911796569824,4008204,15.2230443954468
2017-01-24,16.8386135101318,16.9538059234619,16.418493270874,16.418493270874,4507016,14.8851642608643
2017-01-26,16.4794788360596,16.9402542114258,16.4794788360596,16.7844047546387,7491475,15.2169046401978
2017-01-27,16.7844047546387,16.8724937438965,16.601448059082,16.852165222168,2996855,15.2783365249634
2017-01-30,16.8318367004395,16.8318367004395,16.3168525695801,16.3981666564941,1836601,14.8667325973511
2017-01-31,16.4049415588379,16.5201358795166,16.1474494934082,16.1813316345215,2289221,14.6701517105103
2017-02-01,16.4049415588379,16.4794788360596,16.0593605041504,16.1067943572998,3319902,14.6025743484497
2017-02-02,16.1067943572998,16.5065841674805,16.0796890258789,16.1135692596436,2679564,14.6087188720703
2017-02-03,16.1000175476074,16.9944629669189,16.1000175476074,16.709867477417,2915835,15.1493282318115
2017-02-06,16.892822265625,16.892822265625,16.276195526123,16.3033008575439,1579521,14.7807312011719
2017-02-07,16.5743446350098,16.5743446350098,16.0593605041504,16.2626438140869,3439883,14.7438707351685
2017-02-08,16.2626438140869,16.2897491455078,15.9577198028564,16.0254802703857,2923657,14.5288543701172
2017-02-09,16.0254802703857,16.3913898468018,16.0051517486572,16.1271228790283,4082435,14.6210050582886
2017-02-10,16.4794788360596,16.8250617980957,16.4794788360596,16.7505226135254,7861894,15.186182975769
2017-02-13,16.8047313690186,16.9673595428467,16.6827621459961,16.8250617980957,2927937,15.2537641525269
2017-02-14,16.8386135101318,17.4823417663574,16.8386135101318,17.2112979888916,8900544,15.6039276123047
2017-02-15,17.4620132446289,17.7398338317871,17.3197154998779,17.543327331543,6463745,15.9049510955811
2017-02-16,17.4484615325928,17.6991786956787,17.2926120758057,17.543327331543,4849248,15.9049510955811
2017-02-17,17.3535976409912,17.5365505218506,17.1435375213623,17.4823417663574,4723659,15.8496580123901
2017-02-20,17.4823417663574,17.8889083862305,17.3671493530273,17.6178646087646,2982540,15.9725275039673
2017-02-21,17.7533874511719,17.9227886199951,17.6449699401855,17.8618030548096,2601938,16.1936855316162
2017-02-22,17.8618030548096,18.0854167938232,17.6314163208008,18.0786380767822,3645311,16.3902645111084
2017-02-23,18.1599521636963,18.3632354736328,17.8211479187012,18.0176544189453,4338482,16.3349800109863
2017-02-24,17.8279247283936,17.8482513427734,17.3129405975342,17.3129405975342,4271777,15.6960792541504
2017-03-01,17.5162239074707,17.7872676849365,17.2858352661133,17.7059535980225,4635408,16.0523815155029
2017-03-02,17.4823417663574,17.7737140655518,17.2112979888916,17.4687900543213,3091452,15.8373737335205
2017-03-03,17.441686630249,17.6788482666016,17.0893287658691,17.6585216522217,2432962,16.0093860626221
2017-03-06,17.6178646087646,17.9295654296875,17.583984375,17.868579864502,2680006,16.1998291015625
2017-03-07,17.8753566741943,18.0176544189453,17.4958953857422,17.5501022338867,2766339,15.9110908508301
2017-03-08,17.5568809509277,17.6585216522217,17.2248516082764,17.401029586792,3012498,15.7759408950806
2017-03-09,17.0080146789551,17.7195053100586,16.9944629669189,17.5501022338867,4498604,15.9110908508301
2017-03-10,17.6991786956787,18.1260719299316,17.5297756195068,17.7804908752441,3669366,16.1199684143066
2017-03-13,17.9837741851807,18.4242210388184,17.8143711090088,18.2683696746826,2080547,16.5622787475586
2017-03-14,18.2277145385742,18.315803527832,17.8550281524658,17.8889083862305,2000412,16.2182579040527
2017-03-15,17.8482513427734,18.6342792510986,17.6720733642578,18.4377727508545,3948878,16.7158641815186
2017-03-16,18.5055332183838,18.5732955932617,18.0244312286377,18.2954750061035,2996117,16.5868549346924
2017-03-17,18.3632354736328,18.5529670715332,17.8618030548096,17.8889083862305,5997843,16.2182579040527
2017-03-20,17.8550281524658,18.2819213867188,17.8550281524658,18.1667289733887,4064283,16.4701328277588
2017-03-21,18.2548179626465,18.2548179626465,17.7466106414795,17.949893951416,4892193,16.2735481262207
2017-03-22,17.9024600982666,18.0041027069092,17.6178646087646,17.6991786956787,4605302,16.0916538238525
2017-03-23,17.6110877990723,18.0854167938232,17.4552383422852,17.7533874511719,6320595,16.1409435272217
2017-03-24,17.7533874511719,18.49875831604,17.6381931304932,18.49875831604,5782232,16.8186168670654
2017-03-27,18.4309978485107,18.4919815063477,18.0989685058594,18.2006092071533,3119345,16.5475482940674
2017-03-28,18.2615947723389,18.7223682403564,18.1260719299316,18.5326385498047,3442096,16.8494186401367
2017-03-29,18.6681594848633,18.9866371154785,18.5800704956055,18.9053249359131,2923509,17.1882591247559
2017-03-30,18.96630859375,18.9798603057861,18.5326385498047,18.8511142730713,2977227,17.1389694213867
2017-03-31,18.6342792510986,19.0679492950439,18.4445495605469,18.8375625610352,3911098,17.1266574859619
2017-04-03,18.8375625610352,19.0408458709717,18.6275043487549,18.7969055175781,2526378,17.0896854400635
2017-04-04,18.7969055175781,18.8985481262207,18.7088165283203,18.8646678924561,3256592,17.151294708252
2017-04-05,18.925651550293,19.5761585235596,18.925651550293,19.2170257568359,6635083,17.4716453552246
2017-04-06,19.2102489471436,19.3999786376953,18.8443393707275,19.108606338501,4126413,17.3730754852295
