"Date","AZZA3.SA.Open","AZZA3.SA.High","AZZA3.SA.Low","AZZA3.SA.Close","AZZA3.SA.Volume","AZZA3.SA.Adjusted"
2017-01-02,25.0599994659424,25.0599994659424,24.4099998474121,25.0499992370605,60200,20.9906234741211
2017-01-03,25.0900001525879,25.9099998474121,25.0799999237061,25.9099998474121,152800,21.7112560272217
2017-01-04,25.9699993133545,27.2999992370605,25.9699993133545,26.6499996185303,174300,22.3313407897949
2017-01-05,26.7099990844727,26.9400005340576,26.1800003051758,26.7999992370605,143100,22.4570331573486
2017-01-06,27.0200004577637,27.2600002288818,26.4200000762939,26.75,114500,22.4151458740234
2017-01-09,26.8799991607666,27.0499992370605,26.2800006866455,26.8799991607666,249400,22.5240726470947
2017-01-10,27.1499996185303,27.3799991607666,26.4500007629395,26.6700000762939,327700,22.348108291626
2017-01-11,26.6900005340576,27.5599994659424,26.5300006866455,26.8999996185303,471600,22.5408306121826
2017-01-12,27.3700008392334,28.2900009155273,27.3600006103516,27.7900009155273,195800,23.2866058349609
2017-01-13,27.8400001525879,28.0799999237061,27.4599990844727,27.6700000762939,249700,23.1860523223877
2017-01-16,27.4200000762939,28.0400009155273,26.8299999237061,27.3999996185303,39400,22.9598026275635
2017-01-17,27.4400005340576,27.4899997711182,26.8600006103516,27,95100,22.6246223449707
2017-01-18,27,28.0599994659424,26.9500007629395,27.8099994659424,161100,23.3033599853516
2017-01-19,27.8099994659424,28.0499992370605,27.3899993896484,27.7000007629395,152900,23.2111911773682
2017-01-20,27.7600002288818,28.3099994659424,27.3999996185303,27.7900009155273,76600,23.2866058349609
2017-01-23,27.5799999237061,27.9799995422363,27.1499996185303,27.4400005340576,250900,22.9933261871338
2017-01-24,27.2399997711182,28.5499992370605,27.2399997711182,28.3199996948242,96600,23.7307167053223
2017-01-26,28.7000007629395,29.1200008392334,28.3600006103516,28.8500003814697,178600,24.1748352050781
2017-01-27,28.5699996948242,29.25,28.5,29,241900,24.3005237579346
2017-01-30,28.6800003051758,29.0699996948242,28.4899997711182,28.8600006103516,88700,24.1832065582275
2017-01-31,28.6700000762939,29.1100006103516,28.5200004577637,29.1000003814697,271300,24.3843212127686
2017-02-01,29.0400009155273,30.3799991607666,28.8600006103516,30,406400,25.1384735107422
2017-02-02,30,30.2999992370605,29.5400009155273,30.2999992370605,310300,25.3898601531982
2017-02-03,30.3999996185303,31.3400001525879,29.8099994659424,30.7999992370605,477500,25.8088340759277
2017-02-06,30.8799991607666,30.8799991607666,29.7299995422363,29.7299995422363,419600,24.9122257232666
2017-02-07,29.7299995422363,30.1100006103516,29.3199996948242,29.8299999237061,46500,24.9960231781006
2017-02-08,29.9400005340576,29.9400005340576,29.4799995422363,29.7600002288818,53800,24.9373645782471
2017-02-09,29.5499992370605,29.9200000762939,29.5,29.5200004577637,121300,24.736255645752
2017-02-10,29.7299995422363,29.8199996948242,29.5599994659424,29.8099994659424,151100,24.9792613983154
2017-02-13,29.8299999237061,29.8299999237061,29.5100002288818,29.5799999237061,109700,24.7865352630615
2017-02-14,29.5900001525879,29.8400001525879,29.25,29.5499992370605,170800,24.7613945007324
2017-02-15,29.5100002288818,30.5,29.4300003051758,29.8500003814697,560800,25.0127773284912
2017-02-16,29.8400001525879,30.1299991607666,29.5599994659424,29.8299999237061,330400,24.9960231781006
2017-02-17,29.75,29.9799995422363,29.5799999237061,29.8899993896484,170400,25.0462913513184
2017-02-20,29.9699993133545,30.4400005340576,29.9699993133545,30.2000007629395,134800,25.3060607910156
2017-02-21,30.4899997711182,30.8600006103516,30.25,30.7900009155273,120400,25.8004531860352
2017-02-22,30.8299999237061,31.5599994659424,30.5400009155273,31.2399997711182,129900,26.177526473999
2017-02-23,31.5599994659424,31.7399997711182,31.1000003814697,31.3500003814697,79800,26.2697048187256
2017-02-24,31.2199993133545,31.4899997711182,30.2000007629395,31.4899997711182,222900,26.3870124816895
2017-03-01,31.7099990844727,31.7099990844727,30.3500003814697,31,123600,25.9764194488525
2017-03-02,30.8099994659424,31.0200004577637,29.9099998474121,30.2199993133545,107800,25.3228206634521
2017-03-03,30.3400001525879,30.9699993133545,29.8700008392334,30.6000003814697,140300,25.641242980957
2017-03-06,30.7299995422363,31.25,30.1900005340576,30.7099990844727,125700,25.7334117889404
2017-03-07,30.7399997711182,31.1299991607666,30.5400009155273,31.1299991607666,136100,26.0853538513184
2017-03-08,31.3099994659424,31.5200004577637,30.8199996948242,31.1000003814697,281900,26.0602188110352
2017-03-09,31.0200004577637,31.2600002288818,30.0499992370605,30.25,144100,25.347957611084
2017-03-10,30.2399997711182,31.3500003814697,30.2199993133545,31.1800003051758,115800,26.1272525787354
2017-03-13,31.1900005340576,31.9699993133545,30.9300003051758,31.2199993133545,125800,26.1607704162598
2017-03-14,30.8700008392334,31.9200000762939,30.7800006866455,31.2800006866455,103700,26.2110443115234
2017-03-15,31.5699996948242,31.7999992370605,30.8999996185303,31.7999992370605,143000,26.6467819213867
2017-03-16,31.8700008392334,32.3699989318848,31.7099990844727,31.7999992370605,79400,26.6467819213867
2017-03-17,31.9899997711182,32.0499992370605,31.1700000762939,31.6900005340576,130300,26.5546073913574
2017-03-20,31.7099990844727,31.7299995422363,31.1900005340576,31.3400001525879,44300,26.261323928833
2017-03-21,31.2299995422363,31.5,30.5499992370605,30.8299999237061,74300,25.8339653015137
2017-03-22,30.8199996948242,31.2299995422363,30.3899993896484,31.0900001525879,67800,26.0518379211426
2017-03-23,31.0200004577637,31.2900009155273,30.4799995422363,31.1499996185303,226300,26.1021118164062
2017-03-24,31.1599998474121,31.1900005340576,30.7999992370605,31.1000003814697,57900,26.0602188110352
2017-03-27,30.9400005340576,31,30.4400005340576,30.7000007629395,54200,25.7250366210938
2017-03-28,30.7700004577637,31.9300003051758,30.6599998474121,31.5,211000,26.395393371582
2017-03-29,31.3799991607666,31.6100006103516,31.2800006866455,31.3500003814697,73500,26.2697048187256
2017-03-30,31.3500003814697,31.5599994659424,31.0100002288818,31.2999992370605,40200,26.2278060913086
